id,title,overview
0012f57f-742f-4ca0-81a5-b4c0b3e7e912,Save the Green Planet!,"A traumatized young man abducts Korean leaders, believing they're toxic reptilian aliens - a fifth column launching a takeover of beloved Earth. Stumped law enforcement geniuses half-seriously hire a disgraced, disheveled private detective with a long-ago history of super-crime solving. The alienated South Korean youngster Lee Byeong-gu builds an isolated basement command post/torture chamber/film studio to force the awful truth out of the slimy, uncooperative politicians and businesspeople, then alert the public. Byeong-gu is helped by his devoted girlfriend, who buys his theories, but wonders if his horrible childhood has colored his thinking."
00140fdd-0a70-4b2f-af3e-995d4db640a8,Betrayed,"Screen superstars Clark Gable (""Gone With The Wind,"" ""It Happened One Night"") and sultry bombshell Lana Turner (""Peyton Place,"" ""The Postman Always Rings Twice"") team-up in this intriguing WWII drama. Suspected of being a Nazi spy, Dutch-resistance member Turner is given a last chance mission to redeem herself. Gable is an American colonel who falls in love with her. Co-starring Victor Mature (""My Darling Clementine"") and Oscar-nominee Louis Calhern (""The Asphalt Jungle"")."
00146ddb-e225-4399-8611-3c6a75afc361,Pieces of Talent,"Set in the small coastal town of Bright Leaf, North Carolina, “Pieces of Talent” centers around Charlotte, a disillusioned aspiring actress working a night job as a cocktail waitress in order to make ends meet. Charlotte catches a break when seemingly chance circumstances put her in contact with a local filmmaker, David Long. David and Charlotte form a quick friendship that leads to Charlotte landing the starring role in David’s newest project. David quickly becomes obsessed with Charlotte and begins building his masterpiece. He films each encounter with the ultimate goal of filming Charlotte as his final installment. David is a happily obsessed individual willing to do whatever it takes to make “true art.” He utilizes his charm and skills to make something dark and deranged seem utterly beautiful and loving."
0014cc02-8137-43d4-b726-be45fe916d02,Last of the Dogmen,"A Montana bounty hunter is sent into the wilderness to track three escaped prisoners. Instead he sees something that puzzles him. Later with a female Native Indian history professor, he returns to find some answers."
0014ef32-2bee-467f-a15a-db1d48cb1646,Bad Girl,"A man and woman, skeptical about romance, nonetheless fall in love and are wed, but their lack of confidence in the opposite sex haunts their marriage."
001b9db1-a5b1-4d5e-9e44-7666dc349f45,Children of Nature,An elderly couple leave their retirement home to make one last journey back to their home in the Western Fjords.
001bf9f7-5466-4e8d-a21c-6876189fb9fa,Cruel Winter Blues,"Jae-Mun is a seasoned veteran of the gang. Although a physically imposing black belt in Taekwondo, Chi-Guk is a soft-spoken newcomer to gang life, who is quietly offended by Jae-Mun's arbitrary and random acts of cruelty and rudeness against him and others. They travel to a remote town to perform an assassination of rival gangster Dae-Sik, who was responsible for the death of a friend of Jae-Mun."
001bfa5d-0400-4adb-845d-fa5fc09daf1b,On Approval,"Two wealthy Victorian widows are courted tentatively by two impoverished British aristocrats. When one of the dowagers suggests that her beau go away with her for a month to see if they are compatible, the fireworks begin."
001de8b8-7f5c-48e2-bebb-42dfe07368f4,Turkey Shoot,"In the near future, after an unspecified holocaust, survivors are herded into prison camps. There, they are hunted for sport by the leaders of the camp. Paul, one of the newest prisoners, is determined not to go down as quietly as the others."
001eed4b-2c78-4806-a78e-26eae518820d,Corleone,"Two friends grow up together in the Sicily of the '50s. Two different destiny, two different way of life. Could their friendship survive to the mafia shadow?"
001f9df9-2d07-41b4-a73b-9c626a03d3f4,Terror Is a Man,A mad scientist transforms a panther into a man-like creature that escapes and goes on a murderous rampage.
00212aaf-7856-4d5e-9132-af6309ebf6a7,Womanlight,No overview found.
0022041d-cae2-4899-ada3-aa99527383de,Rigoletto,"Things are not going well in the depression-era town of Castle Gate. Mr. Ribaldi, a mysterious rich man with a disfigured face and an abrasive personality, has just bought and moved into a long-vacant mansion. Bonnie, an adolescent girl who loves to sing, ends up working for Ribaldi so that her family can stay in their house. But Ribaldi is quite an accomplished musician himself, and he is soon giving Bonnie voice lessons. Meanwhile, local businesses are being shut down by foreclosures, and the townspeople suspect Ribaldi is responsible."
0022b0d9-57f8-4f83-be51-197b70399d1d,Patton Oswalt: Talking for Clapping,"Patton Oswalt delivers a fresh hour plus of stand-up, covering everything from misery to defeat to hopelessness. It's his most upbeat special to date."
002328b8-a61a-4385-81f1-1ac1a667dc1e,Kiss Me Goodbye,"Zedd plays D.B. Shane, a dead star who visits a fan in her dreams, kisses her then kills her."
0023e254-af08-4e43-a554-4e98015e817a,So Young,"In the brink of the 90s, 18-year-old Zheng Wei steps into her university life with a hopeful heart for love. She forms a great friendship with her roommates and united as a group, they embark on their university life together. Wei meets Chen Hao-Zheng in a chance encounter, and despite initial reluctance, Chen accepts Wei as his girlfriend and the two become inseparable.  Four years of university life pass and Wei looks forward to establishing a life together with Chen. However, Chen is forced into an impossible decision to leave Wei. Devastated, Wei decides to start afresh. A decade later, Wei’s previous lovers Lin and Chen both find their way back into her life and she has to make a choice of her next step in life."
00250d26-52e8-4f40-9636-9cadcddcf25f,Jesus Christ Superstar,"Tim Rice and Andrew Lloyd Webber's Jesus Christ Superstar first exploded onto the West End stage in 1971 and it was clear that the musical world would never be the same again. For the first time ever, Jesus Christ Superstar has been specially filmed for video. Shot at Pinewood Studios, this brand new filmed stage version starring Glenn Carter and Rik Mayall captures one of the best score Andrew Lloyd Webber has ever written and is packed with hit songs including, 'I Don't Know How To Love Him', 'Gethsemane' and 'Superstar'."
00265bbc-c8a3-433b-9de8-976827e8f974,1 P.M.,"Lighter and livelier than the films Jean-Luc Godard had made in France, his U.S. collaboration with Direct Cinema documentarian D. A. Pennebaker was meant to be One A.M., as in “one American movie”; but Godard quit the project and the U.S., where to his dismay he discovered that revolution wasn’t imminent, and Pennebaker edited Godard’s material, to which he and Richard Leacock even added a bit more, releasing the result as One P.M., as in “one parallel movie.” It’s a stunning mixture of cinéma-vérité, political theater, and interviews of key sixties figures."
00282357-e49f-4884-b9d5-2e934ca61ed3,Dangerous Money,"A treasury agent on the trail of counterfeit money confides to fellow ocean liner passenger, Charlie Chan, that there have been two attempts on his life."
002ceeb7-0bd6-42e3-845b-12e149be065a,A Reflection of Fear,"A young girl lives with her mother and grandmother. One day her estranged father returns home with a female companion he introduces as his fiance. Soon the girl finds herself in the midst of strange goings-on, which evolve into a web of crime and murder."
002e571e-6041-4ac6-923a-d9429f614610,The Queens,"Four unrelated short comedies by four different directors. ""Queen Sabina""chronicles the sexual misadventures of a teenage girl on the road home. ""Queen Armenia"" centers on a self-serving opportunistic gypsy babysitter who uses her employer's kids for her own gain. The third episode, ""Queen Elena"" centers on a husband who learns a lesson about the perils of infidelity after he succumbs to the wiles of the seductive wife next door. The last vignette, ""Queen Marta"" centers on a wealthy woman who, when drunk, uses her butler as an outlet for her lust."
002e71fb-71b8-4ec6-b5eb-619349c0b3b3,On Golden Pond,"The loons are back again on Golden Pond and so are Norman Thayer, a retired professor, and Ethel who have had a summer cottage there since early in their marriage. This summer their daughter Chelsea -- whom they haven't seen for years -- feels she must be there for Norman's birthday. She and her fiance are on their way to Europe the next day but will be back in a couple of weeks to pick up the fiance's son. When she returns Chelsea is married and her stepson has the relationship with her father that she always wanted. Will father and daughter be able to communicate at last?"
002e9bea-16cf-4252-afc8-2128a45a0853,The Tommyknockers,"The small town of Haven becomes a hot-bed of inventions all run by a strange green power device. The whole town is digging something up in the woods, and only an alcoholic poet can discover the secret of the Tommyknocker"
003019af-f1e4-4a36-aebd-b51d1845284f,Gymkata,"Johnathan Cabot is a champion gymnast. In the tiny, yet savage, country of Parmistan, there is a perfect spot for a ""star wars"" site. For the US to get this site, they must compete in the brutal ""Game"". The government calls on Cabot, the son of a former operative, to win the game. Cabot must combine his gymnastics skills of the west with fighting secrets of the east and form GYMKATA!"
0030e2b0-ea71-448c-9114-c04bfb8aa9fb,Something Wild,"A young rape victim tries desperately to pick up the pieces of her life, only to find herself at the mercy of a would-be rescuer."
0031e6c9-5625-4e18-a7e6-29d4cc1642b6,Three-Step Dance,Four separate-but-interconnected stories - one for each season - about life in Sardinia.
0032820b-6ff9-4e8d-9598-2e638cc4c736,Overdose,"Bilbao. The commander of the Guardia Civil, Evaristo Torrecuadrada discovers that his son Paco of 17 years old is a heroin addict. His hope was to see him in the Military Academy. Paco, by differences with his father, runs away from home with a pistol. The commander begins his quest aided by co-Body, using the means at its disposal to achieve its objective. Lt. Alcantara, an expert on drugs, will be one of the most prominent in this quest. The Civil Guard Commander begins to discover a world that knew nothing. Urko's father, nationalist leader with a heroin adict son, helps in some way to find out. His principles, his life, his struggle, fall into a deep crisis, exacerbated by the developments ..."
00329a96-56b3-4f0b-9654-dae104739e86,The Loveless,Trouble ensues when a motorcycle gang stops in a small southern town while heading to the races at Daytona
00344c41-63f3-44f1-95d4-9fd43f278d91,The First $20 Million Is Always the Hardest,"Andy, a successful marketing guy quits his job, gets a new job at a research facility, makes a powerful enemy who makes him volunteer for a nearly impossible project: The $99 PC. The only available guys at the lab, three sociopaths, together they compile a revolutionary PC for $99, then they become the victims of a venture capitalist and Andy's old foe, can he find a way to overcome the problems?"
00365bfc-83eb-4538-8481-ba995e5fb82f,Snow White and the Seven Dwarfs,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own."
0037f401-d439-4f19-9429-f25da840eefc,At Five in the Afternoon,"Nogreh is a young Afghani woman living with her father and her sister-in-law, Leylomah, whose husband, Akhtar, is missing. Beyond the issue of Akhtar, Leylomah is most concerned with how to feed her baby. She cannot provide milk for her baby as her own hunger is preventing her from lactating. Nogreh, however, aspires toward a life in a western styled democracy. Although the Taliban are no longer in power in Afghanistan, traditional forces are still active in the country. Nogreh often displays signs of rebellion, such as wearing a pair of white pumps instead of the traditional slipper beneath her burqa. But mostly, Nogreh wants to be educated. Without her father's knowledge, Nogreh is attending a secular girls school. Ultimately, she wants to become President of Afghanistan. With the help of a Pakistani refugee who likes her as a woman, Nogreh tries to understand exactly what forces led to current world leaders being elected, those forces which she wants to emulate."
00391c0e-bc09-44c6-bf57-8a95c50a2d6b,The FBI Story,"A dedicated FBI agent recalls the agency's battles against the Klan, organized crime and Communist spies."
0039d6a4-cdef-454e-9090-5a956877ded2,Séraphine,"The tragic story of French naïve painter Séraphine Louis aka Séraphine de Senlis (1864-1942), a humble servant who becomes a gifted self-taught painter. Discovered by prominent critic and collector William Uhde, she came to prominence between the wars grouped with other naïve painters like Henri Rouseau only to descend into madness and obscurity with the onset of Great Depression and World War II."
003a1800-8da8-47e6-bf5e-57155c7c4b0f,The Siege of Jadotville,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during in the early 1960s.
003c8d10-ed80-46c3-a657-2c0a6fdc98da,"Midnight's Children","A Canadian-Brith film adaptation of Salman Rushdie's novel of the same name. The film tells the story of a pair of children born within moments of India gaining independence from England grow up in the country that is nothing like their parent's generation."
003d7fb9-c703-4925-a6c7-db4a1d589d9d,"The Emperor's New Clothes","Napoleon, exiled, devises a plan to retake the throne. He'll swap places with commoner Eugene Lenormand, sneak into Paris, then Lenormand will reveal himself and Napoleon will regain his throne. Things don't go at all well; first, the journey proves more difficult than expected, but more disastrously, Lenormand enjoys himself too much to reveal the deception. Napoleon adjusts somewhat uneasily to the life of a commoner while waiting, while Lenormand gorges on rich food."
003edd8f-1e11-4a86-baaf-79c0a29948de,Muck,"After narrowly escaping an ancient burial ground, long forgotten and buried underneath the marshes of Cape Cod, a group of friends emerge from the thick, marshy darkness, tattered and bloody, lucky to be alive. They have already lost two of their friends in the marsh, presumably dead. They stumble upon an empty Cape Cod vacation house alongside the foggy marsh and break in to take shelter. Whatever was in the marsh is still after them and soon after one of them goes for help, the rest of the group learns that the evil in the marsh is not the only thing that wants them dead. Something worse, something more savage, was lying in wait just outside the marsh, in the house. What happens next is unspeakable, horror that cannot be unseen. These unlucky travelers spend their St. Patrick's Day trapped between two evils forcing them to fight, die, or go back the way they came."
003fe45a-0aa8-4e4f-a796-b5261427c19a,Linda Linda Linda,"A group of four high school girls decide to put together a band for their school cultural festival. Three days before they are to play the festival, the guitarist and singer quit the band. The remaining members must figure out what to do or risk canceling. They need to find a new member to be the singer, so they ask the first girl who walks by. Unfortunately, she doesn't speak Japanese very well.  Only three days before their high school festival, guitarist Kei (Yu Kashii), drummer Kyoko (Aki Maeda), and bassist Nozumi (Shiori Sekine) are forced to recruit a new lead vocalist for their band. They choose Korean exchange student Son (Bae Doo-Na), though her comprehension of Japanese is a bit rough! It’s a race against time as the group struggles to learn three tunes for the festival’s rock concert—including a classic '80s punk-pop song by the Japanese group The Blue Hearts called “Linda Linda”..."
00422dab-ea0e-46ea-b955-9fdaf33d70b9,Knock on Wood,"When the boss' unlucky daughter is missing in South America, Campana is sent to watch the boss' most unlucky employee who is sent as a private detective in hopes he can duplicate the daughter's mistakes."
004484ca-a67d-4d18-98dc-7b1a11b7f07c,Sleeping Beauty,"Feature-length, live-action musical version of the classic fairy tale by Charles Perrault."
0045a7d8-72d6-4b39-b709-9d23eb57aab7,Casting By,"This essential new documentary pays tribute to the legacy of the late, legendary casting director Marion Dougherty and shines a light on one of the most overlooked and least understood crafts in filmmaking."
0047142e-cfd5-48a7-bc2a-994e21e332fc,A Fighting Man,Two men meet in the ring for a fight that will change their lives.
004a513c-db4c-4701-af10-cbbb5e51d8b1,John Henry,"Disney's retelling of the legend of John Henry, the steel-driving man."
004adfdd-9086-40ce-9fe1-1c77414e7c70,Crimson Rivers II: Angels of the Apocalypse,"Jean Reno, Benoit Magimel and Christopher Lee (The Lord of the Rings Trilogy, Star Wars Trilogy) star in the riveting action-packed sequel to Crimson Rivers. No one is safe when seemingly random killings emerge as a deadly pattern intended to usher in the end of the world.  A murder victim with the same DNA as Christ. A serial killer mimicking the deaths of the 12 Apostles. Inspector Niemans (Reno) and a young, rebellious detective team up with a beautiful expert in religion to crack the case before their elusive suspect completes the cycle of terror, paving the way to an even bigger bloody catastrophe."
004b0071-4ef5-47cc-9b96-7eeee18f630b,The Cement Garden,"After the death of her husband, the mother of Julie, Jack, Sue and Tom begins to suffer from a mysterious illness. Aware that she is going to have to go into hospital she opens a bank account for the children, so that they can be financially self-sufficient and will be able to avoid being taken into care by the authorities. Unfortunately she also dies and Julie and Jack (the older, teenage children) decide to hide her body in the basement so that they can have free reign of their household. Soon Tom has taken to dressing as a girl whilst Sue has become increasingly reticent, confiding only to her diary, meanwhile Jack and Julie sense an attraction developing for each other. However Julie's new beau, Derek, threatens to unearth the many dark secrets within this family as he becomes increasingly suspicious of Jack."
004f32d7-3d40-4b55-a5a7-47afb0924715,A New Leaf,"Henry Graham is a man with a problem: he has run through his entire inheritance, and is completely unequipped to provide for himself. His childhood guardian, Uncle Harry (a deliciously mean-spirited James Coco), refuses to give him a dime, and Henry, completely unwilling to exercise the only solution he sees--suicide-- devises a plan with the help of his imaginative butler: he can make money the old-fashioned way--he can marry it. With a temporary loan from Uncle Harry to tide him over, Henry has six weeks to find a bride, marry her, and repay the money, or else he must forfeit all his property to his uncle. With only days remaining, Henry meets clumsy, painfully shy heiress Henrietta Lowell (played by director Elaine May). She's the answer to his prayers--if only Henry can overcome the obstacles placed in his path by Uncle Harry, Henrietta's lawyer, and Henry's own reluctance to wed."
0050a160-c734-44a5-9b3b-6bb4d7154eaf,Glue,"A teenage summer in a small town in the desert, a dysfunctional family, a rock band, a can full of glue, two boys, one girl, loads of tongue kisses, dry heat, wind in Patagonia, existential angst... A teenage story in the middle of nowhere."
005310c1-3e0d-49e0-9094-6201c2da3205,Blood Widow,"Laurie and Hugh are a successful young couple who have just closed on a weekend home away from the city. Unbeknownst to them, the neighboring property contains the crumbling remains of a boarding school that was shuttered in the wake of an unspeakable massacre. The sole survivor of that massacre still resides in the ruins of the school, hiding from the world and wanting only to be left alone. When Laurie and Hugh's friends explore the property, they have no idea that they disturbed an emotionally-broken killing machine: The Blood Widow."
0056d069-687f-4591-8cc0-f273fc606c46,Trick or Treat,"Eddie is your average 80's metal head teen. Now he's obsessed with his heavy-metal superstar idol, Sammi Curr who is killed in a hotel fire. Eddie becomes the recipient of the only copy of Curr's unreleased album, which when played backwards brings Sammi back to life. As Halloween approaches, Eddie begins to realize that this isn't only rock 'n roll... it's life and death."
00599a61-ab12-46fa-bb77-2db18f6487ff,Eyes of Laura Mars,A famous fashion photographer develops a disturbing ability to see through the eyes of a killer.
005a60ef-a32e-44d4-bd4d-659622cccdc3,Phantom of the Opera,"Pit violinist Claudin hopelessly loves rising operatic soprano Christine Dubois (as do baritone Anatole and police inspector Raoul) and secretly aids her career. But Claudin loses both his touch and his job, murders a rascally music publisher in a fit of madness, and has his face etched with acid. Soon, mysterious crimes plague the Paris Opera House, blamed on a legendary ""phantom""."
005b0d31-0ae6-4991-ab32-f82a79c16065,Time Zero: The Last Year of Polaroid Film,Documentary covering the end of an era as Polaroid stops producing its signature cameras and film as well as The Impossible Project to keep instant photography alive.
005bb701-5e84-4f73-937d-7c40977ef272,Why Him?,"A dad forms a bitter rivalry with his daughter's young rich boyfriend."
005c7eb4-4de5-40d1-84cd-e74db06f3f56,The Education of Mohammad Hussein,"THE EDUCATION OF MOHAMMAD HUSSEIN is an intimate look at how the largest Muslim community in America responds to the provocations of an anti-Islamic preacher. Through the eyes of children, the film examines what it is like to come of age as a Muslim in the United States ten years post 9/11."
005cf6fa-70f1-4ac9-a271-4c8c9451de37,Zatôichi on the Road,Zatoichi is sworn to protect the life of a young girl and without any real allies finds himself in the middle of a bloody turf war.
005ee37a-4644-4fa6-98d9-de11add865d9,Flesh Gordon,"Emperor Wang (the Perverted) is leader of the planet Porno and sends his mighty ""Sex Ray"" towards Earth, turning everyone into sex-mad fiends. Only one man can save the Earth, football player Flesh Gordon. Along with his girlfriend Dale Ardor and Professor Flexi-Jerkoff, they set off towards the source of the Sex Ray, unaware of the perils that face them!"
0061c50f-7380-4253-8f80-0d18dfd95b8f,Red Wine in the Dark Night,A boy who gets frustrated in love meets another boy who loses all of his memories and they find some ways to start a new life together.
0061dd67-c624-4bfd-91c1-cfb717ffe849,Racket Girls,"Scalli is a gangster who manages women wrestlers as a front for his bookmaking, drug, and prostitution rackets. He trusts the wrong people and ends up trying to run away from both the police and mysterious mob boss Mr. Big, to whom he owes $35,000."
00645f9a-9e67-419d-8696-e94b153655ff,The Inheritance,"Rome, 1880. Gregorio Ferramonti (Anthony Quinn) has decided to close his bakery, the family business. Then he tells his sons Pippo (Gigi Proietti), Mario (Fabio Testi) and Teta that they will have to fend for themselves. But  Irene (Dominique Sanda), the wife of Pippo, a beautiful, calculating and ambitious young woman, wants to take over the inheritance. Acting on intelligence, weighing every step and its consequences, she manages to convince the brothers that they must prevent at all costs that his father falls in love again to avoid the risk of losing their inheritance."
0067b4c0-01d1-44bf-a613-409c6793d668,Purpose,"A software developer becomes a billionaire and is distracted by fame, greed and power, then must save his invention and company from a hostile takeover."
00699787-694d-4b88-ba91-c88aa7b6c514,D3: The Mighty Ducks,"The Ducks are offered scholarships at Eden Hall Academy but struggle with their new coach's methods and come under pressure from the board to retain their scholarships before their big game against the Varsity team."
006a788a-e67f-49f4-b6ae-d68f8b1cb3f8,Gasoline,"Fiery, dark-haired Stella, an intense auto mechanic, and nervous, blonde Eleonora are young and in love. They operate a gas station peacefully, until Eleonora's mother appears and voices her disapproval of their romance."
006c0d26-5cab-42f2-b21e-4483a913c1c2,Springsteen & I,"For 40 years Bruce Springsteen has influenced fans from all over. His songs defined more than a generation. This film gives the fans just as much time as The Boss himself, with never shown footage and live performances from his last tour."
006d0497-d18d-480e-b510-102e34983860,August,"Set in 1890s North Wales over a long, hot August weekend, the Victorian calm of a household is suddenly upset with the arrival of a London couple who impose their city ways and thoughts on the more rurally based family. An adaptation of Anton Chekhov's play, ""Uncle Vanya."""
006df301-7deb-42c3-9765-071e1019c555,Tae Guk Gi: The Brotherhood of War,"In 1950, in South Korea, shoe-shiner Jin-tae Lee and his 18-year-old old student brother, Jin-seok Lee, form a poor but happy family with their mother, Jin-tae's fiancé Young-shin Kim, and her young sisters. Jin-tae and his mother are tough workers, who sacrifice themselves to send Jin-seok to the university. When North Korea invades the South, the family escapes to a relative's house in the country, but along their journey, Jin-seok is forced to join the army to fight in the front, and Jin-tae enlists too to protect his young brother. The commander promises Jin-tae that if he gets a medal he would release his brother, and Jin-tae becomes the braver soldier in the company. Along the bloody war between brothers, the relationship of Jin-seok with his older brother deteriorates leading to a dramatic and tragic end."
006e71cd-7b4a-42e1-b42e-a71ba8cccdc9,5th Day of Peace,"Two German deserting soldiers, Ens. Bruno Grauber (Franco Nero) and Cpl. Reiner Schultz (Larry Aubrey) are trying to avoid capture by the Canadian and Yugoslavian armies entering Auschwitz at the end of World War II. They are captured. Their fellow German prisoners of war, led by von Bleicher, discover that they are deserters. They are put through a formal trial for cowardice organised by von Bleicher. They are sentenced to death on the ""fifth day of peace"". A Canadian General, Snow, persuades (but does not command) the Canadian officer in charge of the prisoner of war camp, Captain Miller, to allow the execution to be carried out for the higher purpose of preserving army discipline. He also motivates Miller with a promotion to Major."
006f6ed2-3e9d-4aea-8a05-3fd37c9c32cf,The Rashevski Tango,"Adolphe 'Dolfo' Rashevski travels to Israel with grandson Ric, but his brother, orthodox rabbi Samuel 'Shmouel, refuses to come attend their fellow Auschwitz survivor sister Rosa's funeral. Back in their home, the whole well-integrated family and their 'gojim' (non-Jewish and would-be) partners regularly wrestle with the meaning of Jewish blood, traditions and religion. For one it seems the way to gain a wife, for others the bomb under or the obstacle for a marriage. Yet love tends to conquer all but death."
00705dcf-2ee0-4824-b968-6b45bef2adc3,Countdown,"Terror from within by Yury Felshtinsky and Alexander Litvinenko, representing them as parts of the plan masterminded and sponsored by exiled tycoon Pokrovsky (obvious hint at Boris Berezovsky in real life) and aimed to discredit Russian security services. As this plan has failed, Pokrovsky assisted by some terrorists organizes a hostage taking in a Moscow circus (very similar to Moscow theater hostage crisis in real life) in order to return to Russia, acting as a saver of the hostages during negotiations. However, he fails to do so. The movie also depicts the Pankisi Gorge in Georgia as a place where an important Islamic militant hides, which was a common allegation by Russian authorities in real life around that time, and depicts destruction of a base of terrorists and allies of Pokrovsky in Qatar which might hint at the assassination of Zelimkhan Yandarbiev. Overall, the movie was widely considered propaganda."
007067da-3d52-4099-b8a5-40f3d8dfceae,Midnight Ride,"A house wife just left her cop husband, when she picks up Justin McKay she'll wish she never did as she's plunged into a nightmare and the grip of a psychotic killer."
00730766-1428-45aa-a86b-b28008cc12e4,Clay Pigeon,An ex-soldier is recruited by the FBI to go undercover in L.A. and find other ex-soldiers who are part of a drug-dealing gang.
0073207a-b70e-4352-87c3-920cfae4a89a,Kabali,"Kabali is a 2016 Indian Tamil-language gangster-drama film written and directed by Pa. Ranjith and produced by Kalaipuli S. Thanu.] The film revolves around the gang war between Kabaleeswaran (played by Rajinikanth) and Tony Lee (portrayed by Winston Chao). Radhika Apte, Dhansika, Dinesh Ravi, Kalaiyarasan, and John Vijay also star in pivotal roles."
00733c53-9f47-4e0c-8d83-2dfc6e696e6e,Le Garçu,"A self-centered man (Gérard Depardieu) with many diversions occasionally visits his 4-year-old son (Antoine Pialat) and the boy's mother (Géraldine Pailhas)."
007466ab-6f1e-4389-ab04-7a1503d4e751,The Pit,"Twelve year-old Jamie Benjamin is a solitary misunderstood boy in his preteens. His classmates pick on him, his neighbors think he's weird and his parents ignore him. But now Jamie has a secret weapon: deep in the woods he has discovered a deep pit full of man-eating creatures he calls Trogs... and it isn't long before he gets an idea for getting revenge and feeding the Trogs in the process!"
0077baff-d3bf-41f6-908a-388a9e442d9d,Lagaan: Once Upon a Time in India,"Lagaan tells the tale of the Indian village Champaner, beset by drought and British colonialism in the year 1893. Without a drop of rain in months, the worried villagers of Champaner decide to ask the local authorities for a temporary repeal of their taxes -- the hated lagaan. Led by the heroic Bhuvan (Indian superstar Aamir Khan) they bring their plight to the military governor, Captain Russell (Paul Blackthorne). But the sadistic Russell threatens to raise the lagaan threefold, unless the villagers can beat his men at a game of cricket, in which case he'll lift taxes on the entire province for a period of three years. Bhuvan accepts the challenge, but there's a problem -- no one in Champaner knows how to play cricket. A band of misfits come to the rescue, coached by Russell's soft-hearted sister Elizabeth (Rachel Shelley), and the race is on to be ready in three months' time. An epic reworking of Victory with eye-popping song-and-dance routines."
